                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2291,                 35.304,                 1.3772,                0.34657,                0.10396,                0.09367,                0.01986,                 3.3604,                 6.0283,                 1.2633,               0.067825,               0.000325,               0.000325
                      2,                 2.6347,                 5.0134,                 1.1738,                0.35405,                0.39604,                0.24575,                0.07105,                 2.7572,                 3.9515,                 1.0831,               0.034825,             0.00065833,             0.00065833
                      3,                 2.3033,                 3.2382,                 1.0451,                0.44943,                0.50495,                0.41541,                0.13884,                 2.4335,                 3.5453,                0.99967,               0.001825,             0.00099166,             0.00099166
                      4,                 2.1333,                 2.7435,                 1.0074,                0.43251,                 0.5301,                0.39386,                0.12729,                 2.3527,                 3.5368,                 1.0078,             0.00099999,             0.00099999,             0.00099999
                      5,                 1.9784,                 2.3993,                0.98439,                0.40378,                0.55446,                0.43033,                0.13608,                 2.4536,                 3.4796,                0.98923,             0.00099998,             0.00099998,             0.00099998
                      6,                 1.8906,                 2.2561,                0.96024,                0.43921,                 0.5777,                0.42488,                0.12669,                 2.5148,                 3.8704,                  1.009,             0.00099997,             0.00099997,             0.00099997
                      7,                 1.8921,                 2.1544,                0.96604,                0.52639,                 0.5099,                0.48552,                 0.1656,                 2.3551,                 3.2455,                0.97357,             0.00099996,             0.00099996,             0.00099996
                      8,                 1.8139,                 2.0589,                0.94412,                0.52451,                0.52228,                0.44549,                 0.1354,                 2.5186,                 3.5142,                0.98542,             0.00099994,             0.00099994,             0.00099994
                      9,                 1.8123,                 2.0069,                0.92842,                0.55439,                 0.5396,                 0.4603,                0.14506,                 2.4772,                 3.2339,                 1.0102,             0.00099993,             0.00099993,             0.00099993
                     10,                 1.7315,                 1.8639,                0.92126,                0.45639,                0.52228,                0.39506,                 0.1185,                 2.4881,                 3.4202,                 1.0362,             0.00099991,             0.00099991,             0.00099991
                     11,                 1.6679,                 1.7724,                0.91919,                0.56936,                 0.5495,                 0.5285,                0.17369,                 2.4399,                 3.2072,                0.98459,             0.00099989,             0.00099989,             0.00099989
                     12,                 1.6289,                 1.6858,                 0.9009,                0.59013,                0.59406,                0.57615,                0.21252,                 2.2673,                 2.8962,                0.96588,             0.00099986,             0.00099986,             0.00099986
                     13,                 1.5864,                  1.673,                0.89739,                0.65447,                0.61417,                0.60001,                0.23827,                 2.1541,                 2.9617,                0.95167,             0.00099984,             0.00099984,             0.00099984
                     14,                 1.5311,                 1.5799,                0.89676,                0.58799,                 0.6076,                0.54106,                0.20153,                 2.2314,                  3.176,                0.96455,             0.00099981,             0.00099981,             0.00099981
                     15,                 1.4931,                 1.5789,                0.88469,                0.68337,                0.62129,                0.62176,                0.22989,                 2.2473,                 2.8338,                0.97033,             0.00099978,             0.00099978,             0.00099978
                     16,                 1.5054,                 1.5595,                 0.8766,                0.60559,                0.66337,                0.59715,                0.22707,                 2.2251,                 3.0251,                0.95421,             0.00099975,             0.00099975,             0.00099975
                     17,                  1.478,                 1.5038,                0.87923,                0.62009,                0.62219,                0.56242,                0.23227,                 2.1584,                  3.227,                0.95857,             0.00099971,             0.00099971,             0.00099971
                     18,                 1.4305,                 1.4469,                0.87493,                0.65098,                0.67403,                0.61053,                0.23456,                 2.2675,                  2.977,                 0.9559,             0.00099967,             0.00099967,             0.00099967
                     19,                 1.3748,                 1.4233,                 0.8618,                0.57063,                0.61386,                0.56783,                0.21002,                 2.2779,                  3.035,                0.95184,             0.00099963,             0.00099963,             0.00099963
                     20,                 1.3644,                 1.4016,                0.86565,                0.65208,                0.67822,                0.64648,                0.26215,                 2.1485,                 2.7555,                0.96508,             0.00099959,             0.00099959,             0.00099959
                     21,                 1.3669,                 1.3546,                0.86387,                0.66729,                0.58663,                0.60634,                0.25362,                 2.2216,                 3.3307,                  0.965,             0.00099955,             0.00099955,             0.00099955
                     22,                 1.3446,                 1.3466,                 0.8557,                0.62945,                0.68069,                0.61555,                0.27606,                 2.0487,                 2.8061,                0.93621,              0.0009995,              0.0009995,              0.0009995
                     23,                 1.3382,                  1.414,                0.85431,                0.64203,                0.71287,                0.62331,                0.26422,                 2.0454,                 2.8369,                0.94689,             0.00099946,             0.00099946,             0.00099946
                     24,                 1.3416,                 1.3293,                0.85612,                0.61813,                0.67079,                0.61096,                0.24349,                 2.1729,                 3.1932,                0.94642,             0.00099941,             0.00099941,             0.00099941
                     25,                 1.2962,                 1.3083,                0.85726,                0.71067,                0.63838,                0.63714,                0.27346,                 2.1567,                 2.8793,                0.95685,             0.00099935,             0.00099935,             0.00099935
                     26,                 1.2824,                 1.2719,                0.85316,                0.66165,                0.63366,                0.64419,                0.25876,                 2.1821,                 2.8522,                0.95781,              0.0009993,              0.0009993,              0.0009993
                     27,                 1.3005,                 1.3202,                0.85156,                0.70345,                0.66089,                 0.6569,                0.26492,                 2.1165,                 2.7154,                0.94753,             0.00099924,             0.00099924,             0.00099924
                     28,                 1.2542,                 1.2387,                0.85153,                0.66848,                0.65347,                0.62042,                0.24992,                 2.1064,                 3.0603,                0.95498,             0.00099918,             0.00099918,             0.00099918
                     29,                 1.2378,                 1.2278,                0.84408,                0.63213,                0.70545,                0.64768,                 0.2658,                 2.1356,                 2.9045,                0.94314,             0.00099912,             0.00099912,             0.00099912
                     30,                 1.2621,                 1.3079,                0.84677,                0.65551,                0.60149,                0.59385,                0.24603,                 2.1427,                 2.7879,                0.95692,             0.00099906,             0.00099906,             0.00099906
