2026-05-07 22:54:35,635 | INFO     | __init__:1050 | Created dataset directories at C:\Users\amork\Desktop\data\manifest-1600709154662\CRISP-ML(Q)\data\classification_dataset
2026-05-07 22:54:35,635 | INFO     | run:1236 | ======================================================================
2026-05-07 22:54:35,635 | INFO     | run:1237 | LIDC-IDRI PREPROCESSING PIPELINE STARTED
2026-05-07 22:54:35,635 | INFO     | run:1238 | ======================================================================
2026-05-07 22:54:35,635 | INFO     | _check_pylidc_config:1298 | Checking pylidc configuration...
2026-05-07 22:54:35,636 | INFO     | _check_pylidc_config:1311 | LIDC data path: G:\manifest-1600709154662\LIDC-IDRI
2026-05-07 22:54:35,636 | INFO     | run:1244 | Querying LIDC-IDRI database...
2026-05-07 22:54:35,682 | INFO     | run:1246 | Found 1018 patients in LIDC-IDRI
2026-05-07 22:54:35,683 | INFO     | run:1253 | Processing patient LIDC-IDRI-0078...
2026-05-07 22:54:35,685 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0078...
2026-05-07 22:54:35,685 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,686 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,686 | INFO     | run:1253 | Processing patient LIDC-IDRI-0069...
2026-05-07 22:54:35,687 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0069...
2026-05-07 22:54:35,687 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,687 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,688 | INFO     | run:1253 | Processing patient LIDC-IDRI-0079...
2026-05-07 22:54:35,689 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0079...
2026-05-07 22:54:35,689 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,690 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,690 | INFO     | run:1253 | Processing patient LIDC-IDRI-0101...
2026-05-07 22:54:35,691 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0101...
2026-05-07 22:54:35,691 | ERROR    | _process_scan:895 | Failed to process scan: DICOMReader.read_ct_series() missing 1 required positional argument: 'logger'
2026-05-07 22:54:35,691 | INFO     | run:1259 | Progress: 0/1018 patients, 0 patches extracted
2026-05-07 22:54:35,692 | INFO     | run:1253 | Processing patient LIDC-IDRI-0110...
2026-05-07 22:54:35,693 | INFO     | _process_scan:833 | Loading scan LIDC-IDRI-0110...
